courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
Business Analytics MSc	University of Nottingham	Nottingham University Business School	Full time	Our Business Analytics MSc is taught in collaboration with multinational companies and will give you the essential skillset they are looking for. It has been developed by theNeo-demographic Laboratory for Analytics in Business (N-LAB), a state-of-the-art teaching, data visualisation and research facility within the Business School.You will benefit from the engagement of N/Lab's multi-national partners, who include Ipsos, World Bank, Walgreens Boots Alliance and IBM Research. In addition to guest lectures, coursework will be based on real-world datasets and your dissertation will use transactional data from a real company.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Nottingham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-msc/?i338d3168c45307Processing file: course_2391.tsv
Finance (Quantitative Finance) (Distance Learning) - MSc	SOAS University of London	School of Finance and Management		Our MSc Finance (Quantitative Finance)equips with you specialist knowledge of statistical and quantitative approaches to risk and derivatives. Through the course, you will examine the techniques and foundation of risk management in corporations, as well as learning how derivatives have shaped the financial markets as we known them. You will also gain wider understanding of econometric principles and data analysis. The programme is particularly suitable if you have a first degree in engineering, applied science, applied mathematics, economics or similar.	See Course	Please see the university website for further information on fees for this course.	MSc	2-5 years distance learning	London	United Kingdom		https://www.findamasters.com/masters-degrees/course/finance-quantitative-finance-distance-learning-msc/?i215d5404c17611Processing file: course_239.tsv
Business Analytics MSc	University College London	School of Management	Full time	Register your interest in graduate study at UCLCompanies need people who can take data and transform it into a powerful strategic asset. This programme provides a rigorous, practical foundation in the key skills needed to unlock the value of data, and an in-depth understanding of how companies can use data to make decisions and improve business performance.The world is changing; companies are capturing trillions of bytes of information about their customers, suppliers, and operations. This explosion of data is disrupting industries and creating new opportunities.	September	Full time - £21,200	MSc	1 year full time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-msc/?i274d5207c40126Processing file: course_23.tsv
Global Public Health and Policy	University of Bath	Department for Health	Full time	Build and enhance your understanding of policymaking to address all core aspects of public health from a global perspective.During this specialist master's course, you’ll explore the factors that contribute to some of the biggest public health challenges facing society today. These may include:global climate changepandemicscrises, such as war and conflictdeterminants of healthhealth inequalitiesYou’ll learn about the approaches used to respond to these challenges, in the context of improving the health and wellbeing of individuals and populations.	September	Please see the university website for further information on fees for this course.	MSc	1 year	Bath	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/global-public-health-and-policy/?i280d1704c68649Processing file: course_2401.tsv
Finance and Accounting MSc/PGDip	University College Birmingham	Postgraduate Courses	Full time	Are you fascinated by today’s complex global financial environment? Thinking of changing career, or just want to develop your skills and knowledge for the finance sector? Our Finance and Accounting postgraduate course will help mould you into a strong decision maker, able to deal with the accounting and finance-related challenges facing local and international organisations in the modern	February, September	Please see the university website for further information on fees for this course.	MSc,PGDip	1 year full time, 2 years part time	Birmingham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-and-accounting-msc-pgdip/?i1038d6176c56201Processing file: course_2402.tsv
Finance and Banking MSc	De Montfort University	Faculty of Business and Law	Full time	OverviewThe Finance and Banking MSc course at DMU provides students with a critical understanding of advanced concepts and theories relevant to the finance and banking disciplines. Including their applied aspects, their nature and significance in the modern economic environment, and the role of financial supervision and regulation as a means to reduce systemic risk and protect consumers, depositors and investors.You will also be introduced to current techniques, methods and technologies used in the finance and banking industries to measure, price, eliminate the risk associated with various financial assets, and efficiently allocate capital to the economy.	September	2023/24 tuition fees for UK students: £9,9502023/24 tuition fees for EU and international students: £16,300	MSc	One year full-time	Leicester	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-and-banking-msc/?i53d2670c70791Processing file: course_2403.tsv
Finance and Banking MSc	University of Brighton	School of Business and Law	Full time	With the banking industry undergoing major changes, there has never been a more exciting or challenging time to join the profession.Our Finance and Banking MSc programme explores the changing environment within which financial institutions operate, the globalisation of finance, changes in technology, and the regulatory environment. You will also gain an appreciation of the evolution of finance and banking theory, as well as contemporary debates and controversies.Full-time students also have the option to add work experience to their Masters through a year’s paid placement in industry.	September	Please see the university website for further information on fees for this course.	MSc	Full-time 1 year / 2 years with placement	Brighton	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-and-banking-msc/?i286d3443c39078Processing file: course_240.tsv
Business Analytics MSc	University of Wolverhampton	Wolverhampton Business School	Full time	Business Analytics, which is shaping today’s businesses in dramatic ways, is the process of gathering, analysing and making business decisions from big data, the vast amount of data now widely available. Businesses today use analytics to inform strategy, gain competitive advantage, and improve business decision making. Analysing such data can help improve efficiency, reduce costs, improve asset use, provide real-time logistics management and much more.	September	Home - Full-time - £11550 per yearHome - Part-time - £5775 per yearInternational - Full-time - £15450 per year	MSc	1 year full time, 2 years part time	Wolverhampton	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-msc/?i373d2909c68830Processing file: course_2415.tsv
Finance and Investment - MSc	University of the West of England, Bristol	Bristol Business School	Full time	If you are seeking to move into a career in finance, our MSc in Finance and Investment will give you the practical and academically-rigorous grounding you need. Covering everything from financial market frameworks and concepts, through to strategic decision making and risk management, you will gain a realistic insight into current practice in the finance and investment world, and be expertly equipped with a toolbox of financial techniques you can apply in your work from day one.This course has been accredited by theGlobal Association of Risk Professionals (GARP)and theCFA Institute.Industry links and	September	Home Annual (Per Year) Fee £10000Home Module Fee (15 Credit) £833	MSc,PGDip,PGCert	1 year full-time	Bristol	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-and-investment-msc/?i359d378c13660Processing file: course_2419.tsv
Finance and Investment (MSc)	Sheffield Hallam University	Postgraduate Courses	Full time	Apply for the part-time course here.Develop your analytical skills and knowledge of the key products, investment strategies and risks present in financial markets.	September, January	Our tuition fee for UK students starting full-time study in 2023/24 is £9,910 for the course.Please see the university website for further information on fees for this course.	MSc	1 year/15 months full-time, 2 year/30 months part-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-and-investment-msc/?i219d2021c18971Processing file: course_241.tsv
Business Analytics MSc (Online)	University of Stirling	Business, Management and Law	Part time	Business Analytics play a critical role in preparing organisations to meet and resolve the issues and challenges faced in these volatile, uncertain and complex times. On this online course you will master the analytic tools, models and methods that can assist organisations in growing revenue, improving efficiency, deal with change and reduce disruption.We will show you how to employ the three key methodologies of business analytics:descriptive analyticspredictive analyticsprescriptive analyticsYou will develop the ability to plan, design and implement impactful business analytics solutions using a range of tools and techniques. Subjects covered in the course include:	September, January	Please see the university website for further information on fees for this course.	MSc	24 months	Stirling	United Kingdom		https://www.findamasters.com/masters-degrees/course/business-analytics-msc-online/?i352d8075c63644Processing file: course_2428.tsv
Finance and Investment MSc	University of Exeter	Finance and Accounting	Full time	OverviewFor students interested in a career in investment analysis or portfolio managementEstablished in 1973, this was the very first Masters degree in finance in the UK and has gained an international reputation for providing excellent training and rigorous academic knowledge in finance and investment, and strong network in the finance industry globallyUndertake a non-assessed financial database training course delivered by the data specialists from Bloomberg, Thomson Reuters, Bureau Van Dijk, the Standard, and Poor’s Global Market IntelligenceYou’ll have the opportunity to work towards a qualification from the CISI in addition to your MSc to increase your employability, and the opportunity to gain a QTEM certificateTake advantage of our Double Degree options, where you can spend your first year at Exeter and a second year at another world class international institution, resulting in two Masters degrees.Course contentThe programme offers two pathways: 9-month and 12-month. The difference between the 9-month and 12 month courses is that the 12-month course includes a dissertation. Students on the 9 month course take additional taught modules to make up these learning credits. Both programmes have exactly the same entry requirements and result in exactly the same award.	September	For current fees please see our website.	MSc	9 or 12 months full-time	Exeter	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-and-investment-msc/?i302d8979c1985Processing file: course_242.tsv
Business Analytics: Optimisation of Business Processes MSc	Vrije Universiteit Amsterdam	School of Business and Economics	Full time	Use data and algorithms to achieve business successAre you keen to harness the power of data science, statistics and machine learning to optimise results and achieve strategic objectives? Ready to combine insights from mathematics, computer science and economics with highly developed communication skills? The Master’s programme in Business Analytics will deepen your knowledge - making you key to the success of any organisation.The programme has four tracks, giving you the opportunity to specialise in your own area of interest:	September	EU/EER Student: €1,084NON-EU Student: €14,236	MSc	Full-time: 2 years	Amsterdam	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-optimisation-of-business-processes-msc/?i384d8541c63217Processing file: course_243.tsv
Business Analytics: Computational Intelligence MSc	Vrije Universiteit Amsterdam	School of Business and Economics	Full time	Use data and algorithms to achieve business successAre you keen to harness the power of data science, statistics and machine learning to optimise results and achieve strategic objectives? Ready to combine insights from mathematics, computer science and economics with highly developed communication skills? The Master’s programme in Business Analytics will deepen your knowledge - making you key to the success of any organisation.The programme has four tracks, giving you the opportunity to specialise in your own area of interest:	September	EU/EER Student: €1,084NON-EU Student: €14,236	MSc	Full-time: 2 years	Amsterdam	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-computational-intelligence-msc/?i384d8541c63218Processing file: course_2440.tsv
Finance and Risk Management MSc	University of Brighton	School of Business and Law	Full time	Since the banking crisis, risk managers have been increasingly sought after. Large companies rely on them to advise on appropriate risk-taking, identify and assess threats, and decide how to avoid, reduce or transfer risks.Our Finance and Risk Management MSc will develop your knowledge of risk management theory at a company, country and international level, investigating contemporary debates and controversies in risk management.Full-time students also have the option to add work experience to their Masters through a year’s paid placement in industry.	September	Please see the university website for further information on fees for this course.	MSc	Full-time 1 year / 2 years with placement	Brighton	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-and-risk-management-msc/?i286d3443c39081Processing file: course_244.tsv
Business Analytics: Financial Risk Management MSc	Vrije Universiteit Amsterdam	School of Business and Economics	Full time	Use data and algorithms to achieve business successAre you keen to harness the power of data science, statistics and machine learning to optimise results and achieve strategic objectives? Ready to combine insights from mathematics, computer science and economics with highly developed communication skills? The Master’s programme in Business Analytics will deepen your knowledge - making you key to the success of any organisation.The programme has four tracks, giving you the opportunity to specialise in your own area of interest:	September	EU/EER Student: €1,084NON-EU Student: €14,236	MSc	Full-time: 2 years	Amsterdam	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-financial-risk-management-msc/?i384d8541c63219Processing file: course_245.tsv
Business and Heritage Management MSc	University of Southampton	Faculty of Arts and Humanities	Full time	Our MSc Business and Heritage Management master’s degree offers a personalised curriculum. It will develop your knowledge and skills in business and archaeology, and make you an effective manager of the world’s heritage.The heritage industry is a major contributor to the global economy, employing an increasing number of skilled heritage managers. We’ll guide you through modules to develop your understanding of the economic and legal principles of heritage management around the world. This includes museum displays, site presentations, and how heritage shapes national identities.You'll learn about the theory and practice of assessing, preserving, presenting and mitigating the impact of development on our shared heritage.	September	A variety of scholarships, grants and bursaries may be available to help you fund your master’s study.Please see the university website for further information on fees for this course.	MSc	Full-time: 1 year	Southampton	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-and-heritage-management-msc/?i349d4351c37714Processing file: course_2461.tsv
Finance, Accounting and Management - MSc	University of Bradford	Faculty of Management, Law and Social Sciences	Full time	A Master's degree designed to produce fully rounded managers with an emphasis on finance. You’ll focus on how a business creates and measures value, and how to approach accounting and finance from a strategic perspective.The programme combines finance and accounting with a detailed examination of other disciplines required for the management of organisations. This also allows you to consider financial decision-making from multiple perspectives. You will be able to apply your knowledge and skills gained from these disciplines in your final dissertation.Key elements include:	September, January	Please see the university website for further information on fees for this course.	MSc	12-15 months Full-time; 24-27 months Part-time	Bradford	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-accounting-and-management-msc/?i285d7564c52945Processing file: course_2466.tsv
Financial and Business Management (MSc)	Kingston University	Faculty of Business and Social Sciences	Full time	This course is ideal if you aspire to a career in financial management, management accounting or business management. The course has been developed in consultation with global finance professionals.The course teaches practical skills essential for managing businesses across a range of contexts. You will learn how to interpret and solve problems using both quantitative and qualitative methods.Through a research project (dissertation), you may study a chosen topic in detail, with one-to-one tuition and guidance.	September	Please see the university website for further information on fees for this course.	MSc	1 year full time, 2 years full time including professional placement	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/financial-and-business-management-msc/?i133d3886c16096Processing file: course_246.tsv
Business and Management (PgCert/PgDip/MSc)	Robert Gordon University	Aberdeen Business School	Full time	This course is targeted at aspiring and current managers who want to develop their managerial competences in the key functional areas of a business.It is designed to provide you with the theories, tools and techniques to support the practical management of a business.This course is part of theMSc Business and Management programme, giving you the option of studying a 2 year MSc (with work placement).You will graduate with a clear understanding of how to achieve business success by effectively building a resilient team and aligning your people with the organisation’s strategic objectives.	September, January	Please see the university website for further information on fees for this course.	MSc,PGDip,PGCert	12-24 months full-time	Aberdeen	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-and-management-pgcert-pgdip-msc/?i200d3682c57290Processing file: course_2475.tsv
Financial Economics (MSc)	Birkbeck, University of London	Birkbeck Business School	Full time	Our MSc Financial Economics will give you the tools and techniques you need to investigate important economic issues. It provides a thorough grounding in mathematical and econometric techniques, as well as microeconomics, and examines why financial markets are prone to crises, studying the details of past and present crises, and subsequent policy	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time or 2 years part-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/financial-economics-msc/?i16d9009c25780Processing file: course_247.tsv
Business and Management MRes	University of Stirling	Business, Management and Law	Full time	Our Master of Research in Business and Management is accredited by the Economic and Social Research Council (ESRC) and the Scottish Graduate School of Social Science for the training of PhD students.You'll learn how to:undertake doctoral research in business and managementequip yourself for an academic or commercial career in business and management researchundertake, evaluate, commission or manage research in the commercial, public, or voluntary sectorsThe MRes course has a strong practical focus and trains you in the advanced skills necessary for business, management, economic and policy research. Our aim is to help you to become a researcher who is:	September	Please see the university website for further information on fees for this course.	MRes,PGCert,MSc	12 Months	Stirling	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-and-management-mres/?i352d8075c23600Processing file: course_2486.tsv
Financial Management - MSc/PgD/PgC	Cardiff Metropolitan University	Cardiff School of Management	Full time	Pathways:MSc Financial ManagementMSc Financial Management (Islamic Finance)MSc Financial Management (Strategic Management)MSc Financial Management (International Finance)MSc Financial Management (Project Management)The popular MSc Financial Management programme is suitable for anyone wishing to acquire knowledge within the realm of business, management and finance. The aim of the programme is enhance knowledge and understanding of finance, which can be applied to complex issues in order to improve business and management practice. The programme offers a suite of optional module and pathways, which will enable learners to tailor their programme to suit their individual needs and interest.	September, January	As a postgraduate, research or part-time student, the tuition fees you are charged will depend on the course you choose to study.	MSc,PGDip,PGCert	1 year full time, 2 years part time	Cardiff	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/financial-management-msc-pgd-pgc/?i366d5383c24450Processing file: course_2487.tsv
