Design Engineering MSc	University of Strathclyde	Department of Design, Manufacture & Engineering Management	Full time	The course addresses the issues associated with a rapidly changing market and the demands for better, cheaper and personalised products, developed within the shortest possible time.Design engineers are problem-solvers who bridge the gap between traditional engineering and design. It's a discipline that draws on knowledge of product development, technical design, manufacturing techniques and rapid prototyping to bring new innovations to market. It also focuses on improving existing products and the processes used for making them.	September	Please see the university website for further information on fees for this course.	MSc	12 months full-time, 24 months part-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/design-engineering-msc/?i353d36c40398Processing file: course_1415.tsv
Design Engineering with Advanced Product Development MSc	University of Strathclyde	Department of Design, Manufacture & Engineering Management	Full time	This course addresses the issues associated with a rapidly changing market and the demands for better, cheaper and personalised products, developed within the shortest possible time.The Advanced Product Development stream is designed for those who wish to enhance their technical knowledge and practical design skills through the application of state-of-the-art manufacture to practical design settings through the specialisation in advanced materials and production technology, product design techniques and engineering risk management.	September	Please see the university website for further information on fees for this course.	MSc	12 months full-time, 24 months part-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/design-engineering-with-advanced-product-development-msc/?i353d36c65500Processing file: course_1416.tsv
Design Engineering with Sustainability MSc	University of Strathclyde	Department of Design, Manufacture & Engineering Management	Full time	This course addresses the issues associated with a rapidly changing market and the demands for better, cheaper and personalised products, developed within the shortest possible time.Ecological and ‘green’ constraints weigh significantly on engineering designers already and these pressures are likely to increase very significantly during the careers of today’s students. We consider the need for significant change in the design philosophy employed in industrialised manufacture and product development as well as responses to those pressures including legislation and standards, alternative processes and materials and design for resource economy at small and large scale.	September	Please see the university website for further information on fees for this course.	MSc	12 months full-time, 24 months part-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/design-engineering-with-sustainability-msc/?i353d36c65502Processing file: course_1417.tsv
Digital and Technology Solutions (Software Engineering Specialist) MSc (Specialist Integrated Degree Apprenticeship)	Newcastle University	School of Computing	Part time	You don't need to be working in software engineering to qualify for entrance to this programme but will need to move into a suitable role where you can apply your learning in the workplace.You'll use a combination of technical and soft skills throughout this Digital and Technology Solutions Degree Apprenticeship. Subject to COVID-19 restrictions, you'll also have extensive on-the-job training. You'll become an expert in your field so you can take your career to the next level.This course meets the needs of the apprenticeships scheme. It is designed to the Software Engineering Technology Specialism of the Digital Technology Solutions Level 7 integrated degree standard.	February	https://www.ncl.ac.uk/postgraduate/degrees/5458p/?utm_campaign=postgrad&utm_source=findamasters&utm_medium=listing&utm_content=Digital_and_Technology_Solutions_(Software_Engineering_Specialist)_MSc_(Specialist_Integrated_Degree_Apprenticeship)	MSc	2 years part time	Newcastle	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/digital-and-technology-solutions-software-engineering-specialist-msc-specialist-integrated-degree-apprenticeship/?i177d3189c62106Processing file: course_1487.tsv
Digital Audio Engineering - MSc	University of West London	London College of Music	Full time	On our MSc in Digital Audio Engineering, you will explore the varied uses of technology in the delivery and creation of digital audio systems. With access to a wide array of resources, including both hardware and software, you will be able to develop real-world technical expertise to design, develop and operate a range of innovative solutions.Digital audio is part of all aspects of modern life. It is used in music and sound production, media and gaming, 3D spatial audio, mobile devices, streaming, online media and the internet of things (IoT), plus many others.There is a growing demand for people who have the necessary technical and creative abilities to enable and progress how digital audio is embedded in these areas.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time; 2 years part-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/digital-audio-engineering-msc/?i237d5309c71480Processing file: course_1491.tsv
Digital Audio Engineering - MSc	University of West London	School of Computing and Engineering	Full time	On our MSc in Digital Audio Engineering, you will explore the varied uses of technology in the delivery and creation of digital audio systems. With access to many useful resources, including both hardware and software, you will be able to develop real-world technical expertise to design, develop and operate a range of innovative solutions.Digital audio is part of all aspects of modern life. It is used in music and sound production, media and gaming, 3D spatial audio, mobile devices, streaming, online media and the internet of things (IoT), plus many others. There is a growing demand for people who have the necessary technical and creative abilities to enable and progress how digital audio is embedded in these areas.	January, September	Please see the university website for further information on fees for this course.	MSc	1 year full-time; 2 years part-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/digital-audio-engineering-msc/?i237d3554c51086Processing file: course_1492.tsv
MSc Energy Engineering Management	Durham University	Durham University Business School	Full time	Climate Change is an indisputable reality. Universities around the world are preparing students with the right skills to support the essential move toward Net Zero across the globe; balancing greenhouse gases produced, with greenhouse gases removed from the earth’s atmosphere.	September	Home / Island students £13,000EU / International Students £28,500	Other,MSc	1 year full time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-energy-engineering-management/?i67d3385c64916Processing file: course_1504.tsv
MSc Engineering for Marine Professionals (Top-up)	MLA College	MLA College	Part time	TheMSc Engineering for Marine Professionalsdegree, awarded by the University of Plymouth, is a top-up degree. It consists of a stand-alone dissertation module, which upon successful completion will see you awarded a full Master’s degree.Delivered via part-time distance learning, MLA College provides a flexible approach to study, allowing it to easily fit around your work and life commitments.This programme is particularly suited to those with significant marine engineering knowledge or work experience in the field. This programme is suited to those seeking Chartered Marine Engineer (CEng / CMarEng) status with the IMarEST. It is approved as meeting the ‘knowledge and understanding’ competencies set out for Chartered status. However, you will need to demonstrate you meet all other competencies.	January, May	£5,750	MSc	12 months, part-time distance learning	Plymouth	United Kingdom		https://www.findamasters.com/masters-degrees/course/msc-engineering-for-marine-professionals-top-up/?i2308d7409c52395Processing file: course_1505.tsv
MSc Engineering Management	University of Hull	University of Hull Online	Part time	Start date: January 2024Consolidate your engineering experience and gain the commercial awareness and management tools to take your career to the next level.Why this MSc?We recognise that to succeed in a competitive engineering environment, managers and aspiring leaders require practical knowledge of emerging management concepts, commercial awareness, and the management tools necessary to deliver impressive, high-quality results.	May, September	Please see the university website for further information on fees for this course.£8,250	MSc	2 years part-time (online)	Hull	United Kingdom		https://www.findamasters.com/masters-degrees/course/msc-engineering-management/?i315d8200c56797Processing file: course_150.tsv
Building and Infrastructure Information Modelling (BIM) for Smart Engineering - MSc	Cardiff University	Cardiff School of Engineering	Full time	Why study this courseThis MSc will provide you with the necessary training, skills and hands-on experience to become successful in the dynamic and highly competitive fields of BIM and smart engineering.Our MSc Building and Infrastructure Information Modelling (BIM) for Smart Engineering aims to provide you with the necessary training, skills and hands-on experience to become successful in the dynamic and highly competitive fields of BIM and smart engineering, and to give you a distinct edge when applying for a career in industry or for a PhD studentship.	September	For programme fees please visit our website:Please see the university website for further information on fees for this course.	MSc	1 year full time	Cardiff	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/building-and-infrastructure-information-modelling-bim-for-smart-engineering-msc/?i33d4088c50929Processing file: course_159.tsv
